SINGLES,,,,,,
Result,Year,Tournament,Surface,Opponent,Score,
Loss,1997,US Open,Hard, Martina Hingis,"0–6, 4–6",
Win,2000,Wimbledon,Grass, Lindsay Davenport,"6–3, 7–6(7–3)",
Win,2000,US Open,Hard, Lindsay Davenport,"6–4, 7–5",
Win,2001,Wimbledon (2),Grass, Justine Henin,"6–1, 3–6, 6–0",
Win,2001,US Open (2),Hard, Serena Williams,"6–2, 6–4",
Loss,2002,French Open,Clay, Serena Williams,"5–7, 3–6",
Loss,2002,Wimbledon,Grass, Serena Williams,"6–7(4–7), 3–6",
Loss,2002,US Open,Hard, Serena Williams,"4–6, 3–6",
Loss,2003,Australian Open,Hard, Serena Williams,"6–7(4–7), 6–3, 4–6",
Loss,2003,Wimbledon,Grass, Serena Williams,"6–4, 4–6, 2–6",
Win,2005,Wimbledon (3),Grass, Lindsay Davenport,"4–6, 7–6(7–4), 9–7",
Win,2007,Wimbledon (4),Grass, Marion Bartoli,"6–4, 6–1",
Win,2008,Wimbledon (5),Grass, Serena Williams,"7–5, 6–4",
Loss,2009,Wimbledon,Grass, Serena Williams,"6–7(3–7), 2–6",
Loss,2017,Australian Open,Hard, Serena Williams,"4–6, 4–6",
Loss,2017,Wimbledon,Grass, Garbiñe Muguruza,"5–7, 0–6",
Result,Year,Tournament,Surface,Partner,Opponent,Score
Win,1999,French Open,Clay, Serena Williams, Martina Hingis,"6–3, 6–7(2–7), 8–6"
,,,,, Anna Kournikova,
Win,1999,US Open,Hard, Serena Williams, Chanda Rubin,"4–6, 6–1, 6–4"
,,,,, Sandrine Testud,
Win,2000,Wimbledon,Grass, Serena Williams, Julie Halard-Decugis,"6–3, 6–2"
,,,,, Ai Sugiyama,
Win,2001,Australian Open,Hard, Serena Williams, Lindsay Davenport,"6–2, 2–6, 6–4"
,,,,, Corina Morariu,
Win,2002,Wimbledon (2),Grass, Serena Williams, Virginia Ruano Pascual,"6–2, 7–5"
,,,,, Paola Suárez,
Win,2003,Australian Open (2),Hard, Serena Williams, Virginia Ruano Pascual,"4–6, 6–4, 6–3"
,,,,, Paola Suárez,
Win,2008,Wimbledon (3),Grass, Serena Williams, Lisa Raymond,"6–2, 6–2"
,,,,, Samantha Stosur,
Win,2009,Australian Open (3),Hard, Serena Williams, Daniela Hantuchová,"6–3, 6–3"
,,,,, Ai Sugiyama,
Win,2009,Wimbledon (4),Grass, Serena Williams, Samantha Stosur,"7–6(7–4), 6–4"
,,,,, Rennae Stubbs,
Win,2009,US Open (2),Hard, Serena Williams, Cara Black,"6–2, 6–2"
,,,,, Liezel Huber,
Win,2010,Australian Open (4),Hard, Serena Williams, Cara Black,"6–4, 6–3"
,,,,, Liezel Huber,
Win,2010,French Open (2),Clay, Serena Williams, Kv?ta Peschke,"6–2, 6–3"
,,,,, Katarina Srebotnik,
Win,2012,Wimbledon (5),Grass, Serena Williams, Andrea Hlavá?ková,"7–5, 6–4"
,,,,, Lucie Hradecká,
Win,2016,Wimbledon (6),Grass, Serena Williams, Timea Babos,"6–3, 6–4"
,,,,, Yaroslava Shvedova,
